Reported Date,Total Dead and Missing,Location Coordinates
1989-09-22,1.0,"40.8751, -74.0293"
1989-09-22,21.0,"5.949, 80.5428"
1989-09-23,21.0,"5.949, 80.5428"
1989-09-23,1.0,"10.23, -67.98"
1989-09-23,1.0,"39.485, -0.4"
1989-09-23,1.0,"40.8751, -74.0293"
1989-09-23,1.0,"40.8751, -74.0293"
1989-09-25,1.0,"14.6042, 120.9822"
1989-09-25,1.0,"13.71, -89.203"
1989-09-25,1.0,"14.6042, 120.9822"
1989-09-26,1.0,"37.9833, 23.7333"
1989-09-26,1.0,"33.9508, -83.3689"
1989-09-26,1.0,"39.3269, -82.0987"
1989-09-26,1.0,"34.7847, -86.951"
1989-09-26,1.0,"35.4573, -84.6045"
1989-09-26,1.0,"32.2041, -95.8321"
1989-09-26,5.0,"10.3997, -75.5144"
1989-09-26,5.0,"37.6004, -0.98"
1989-09-26,2.0,"10.3997, -75.5144"
1989-09-26,2.0,"37.6004, -0.98"
1989-09-26,1.0,"32.8925, 13.18"
1989-09-26,1.0,"34.42, 35.87"
1989-09-27,1.0,"14.6042, 120.9822"
1989-09-27,1.0,"6.932, 79.8578"
1989-09-27,1.0,"13.71, -89.203"
1989-09-27,1.0,"14.797, -89.544"
1989-09-27,2.0,"40.8751, -74.0293"
1989-09-27,3.0,"13.4833, -88.1833"
1989-09-28,1.0,"13.71, -89.203"
1989-09-28,4.0,"7.28, 80.67"
1989-09-28,3.0,"-12.048, -77.0501"
1989-09-28,3.0,"40.741, -84.1121"
1989-09-29,1.0,"4.8104, -75.68"
1989-09-29,3.0,"27.3648, -99.482"
1989-09-29,1.0,"40.8751, -74.0293"
1989-09-29,5.0,"-33.45, -70.667"
1989-09-29,5.0,"19.5, -70.67"
1989-09-29,5.0,"8.1004, -80.9833"
1989-09-29,5.0,"16.6881, 121.5472"
1989-09-29,5.0,"-14.1896, -75.74"
1989-10-01,4.0,"8.35, 80.3833"
1989-10-01,1.0,"-7.81, -78.0499"
1989-10-01,1.0,"-14.068, -75.7255"
1989-10-01,2.0,"-12.08, -75.2"
1989-10-01,3.0,"3.4, -76.5"
1989-10-02,1.0,"9.2904, -75.38"
1989-10-02,11.0,"-12.048, -77.0501"
1989-10-02,11.0,"40.741, -84.1121"
1989-10-02,1.0,"-14.8334, -64.9"
1989-10-02,1.0,"-33.5169, -56.8981"
1989-10-02,1.0,"-33.544, -56.901"
1989-10-02,1.0,"37.175, -104.4908"
1989-10-02,1.0,"7.0907, -70.7616"
1989-10-03,1.0,"7.28, 80.67"
1989-10-03,9.0,"-14.6666, 17.7"
1989-10-03,4.0,"40.8751, -74.0293"
1989-10-03,8.0,"13.1, 103.2"
1989-10-04,1.0,"50.8333, 4.3333"
1989-10-04,1.0,"54.6, -5.96"
1989-10-04,1.0,"54.5968, -5.9254"
1989-10-04,1.0,"40.7875, -73.5416"
1989-10-04,4.0,"28.67, 77.23"
1989-10-04,4.0,"37.4306, -120.7759"
1989-10-04,2.0,"-12.048, -77.0501"
1989-10-04,2.0,"40.741, -84.1121"
1989-10-05,5.0,"31.64, 74.87"
1989-10-05,1.0,"7.28, 80.67"
1989-10-05,2.0,"-12.048, -77.0501"
1989-10-05,2.0,"40.741, -84.1121"
1989-10-06,1.0,"14.6042, 120.9822"
1989-10-06,18.0,"7.28, 80.67"
1989-10-06,6.0,"7.28, 80.67"
1989-10-07,1.0,"-34.858, -56.1711"
1989-10-07,1.0,"44.9505, -95.7154"
1989-10-07,5.0,"-17.78, 15.77"
1989-10-08,1.0,"54.5099, -6.0404"
1989-10-09,1.0,"14.6042, 120.9822"
1989-10-09,1.0,"14.6042, 120.9822"
1989-10-09,2.0,"5.5504, -73.37"
1989-10-09,1.0,"33.563, 35.3688"
1989-10-09,11.0,"13.71, -89.203"
1989-10-10,2.0,"13.71, -89.203"
1989-10-10,1.0,"-12.048, -77.0501"
1989-10-10,1.0,"40.741, -84.1121"
1989-10-10,1.0,"-12.048, -77.0501"
1989-10-10,1.0,"40.741, -84.1121"
1989-10-11,1.0,"33.563, 35.3688"
1989-10-12,2.0,"-6.51, -76.48"
1989-10-12,3.0,"-12.048, -77.0501"
1989-10-12,3.0,"40.741, -84.1121"
1989-10-12,2.0,"3.4, -76.5"
1989-10-13,1.0,"-12.048, -77.0501"
1989-10-13,1.0,"40.741, -84.1121"
1989-10-13,12.0,"-15.4166, 28.2833"
1989-10-13,5.0,"6.932, 79.8578"
1989-10-13,5.0,"9.675, 80.005"
1989-10-14,1.0,"9.675, 80.005"
1989-10-14,15.0,"-15.8329, -70.0333"
1989-10-16,1.0,"31.7784, 35.2066"
1989-10-16,1.0,"39.9272, 32.8644"
1989-10-16,11.0,"7.1301, -73.1259"
1989-10-16,2.0,"31.64, 74.87"
1989-10-17,1.0,"13.674, -89.29"
1989-10-17,2.0,"33.563, 35.3688"
1989-10-17,17.0,"39.9272, 32.8644"
1989-10-18,1.0,"3.4, -76.5"
1989-10-18,5.0,"40.8751, -74.0293"
1989-10-19,2.0,"13.71, -89.203"
1989-10-22,4.0,"6.693, 80.386"
1989-10-23,1.0,"-33.45, -70.667"
1989-10-23,1.0,"19.5, -70.67"
1989-10-23,1.0,"8.1004, -80.9833"
1989-10-23,1.0,"16.6881, 121.5472"
1989-10-23,1.0,"-14.1896, -75.74"
1989-10-23,4.0,"24.87, 66.99"
1989-10-24,1.0,"-12.048, -77.0501"
1989-10-24,1.0,"40.741, -84.1121"
1989-10-24,27.0,"13.4833, -88.1833"
1989-10-25,24.0,"7.28, 80.67"
1989-10-25,2.0,"19.2166, -70.5166"
1989-10-26,1.0,"-13.175, -74.22"
1989-10-26,1.0,"40.8751, -74.0293"
1989-10-26,2.0,"32.8925, 13.18"
1989-10-26,2.0,"34.42, 35.87"
1989-10-26,1.0,"3.4, -76.5"
1989-10-27,1.0,"14.6042, 120.9822"
1989-10-27,1.0,"-12.08, -75.2"
1989-10-27,5.0,"52.08, 4.27"
1989-10-27,2.0,"40.8751, -74.0293"
1989-10-27,1.0,"40.8751, -74.0293"
1989-10-27,8.0,"-13.175, -74.22"
1989-10-27,2.0,"-13.175, -74.22"
1989-10-28,1.0,"38.7227, -9.1449"
1989-10-28,1.0,"40.7752, -80.7628"
1989-10-28,1.0,"44.0265, -70.09"
1989-10-28,3.0,"-13.175, -74.22"
1989-10-28,20.0,"1.4608, 33.9361"
1989-10-29,3.0,"32.8925, 13.18"
1989-10-29,3.0,"34.42, 35.87"
1989-10-29,6.0,"37.7562, -122.443"
1989-10-29,6.0,"13.7, -88.1"
1989-10-29,6.0,"-31.43, -62.09"
1989-10-30,1.0,"14.6042, 120.9822"
1989-10-30,2.0,"40.8751, -74.0293"
1989-10-30,1.0,"-12.048, -77.0501"
1989-10-30,1.0,"40.741, -84.1121"
1989-10-30,16.0,"13.71, -89.203"
1989-10-31,1.0,"40.8751, -74.0293"
1989-10-31,1.0,"13.71, -89.203"
1989-10-31,1.0,"-12.048, -77.0501"
1989-10-31,1.0,"40.741, -84.1121"
1989-10-31,1.0,"-12.048, -77.0501"
1989-10-31,1.0,"40.741, -84.1121"
1989-10-31,4.0,"13.71, -89.203"
1989-10-31,36.0,"13.71, -89.203"
1989-11-01,5.0,"24.87, 66.99"
1989-11-01,1.0,"40.8751, -74.0293"
1989-11-01,3.0,"40.8751, -74.0293"
1989-11-01,2.0,"13.71, -89.203"
1989-11-01,12.0,"-12.048, -77.0501"
1989-11-01,12.0,"40.741, -84.1121"
1989-11-02,1.0,"17.4, 78.48"
1989-11-02,2.0,"24.87, 66.99"
1989-11-02,1.0,"24.87, 66.99"
1989-11-02,1.0,"13.71, -89.203"
1989-11-03,10.0,"40.8751, -74.0293"
1989-11-05,1.0,"31.7784, 35.2066"
1989-11-06,1.0,"10.3997, -75.5144"
1989-11-06,1.0,"37.6004, -0.98"
1989-11-06,3.0,"13.72, -89.73"
1989-11-07,10.0,"7.28, 80.67"
1989-11-07,2.0,"41.105, 29.01"
1989-11-07,10.0,"8.569, 81.233"
1989-11-08,1.0,"14.102, -87.2175"
1989-11-08,1.0,"31.9167, 34.8667"
1989-11-08,4.0,"-12.048, -77.0501"
1989-11-08,4.0,"40.741, -84.1121"
1989-11-08,18.0,"33.872, 35.5097"
1989-11-08,19.0,"33.872, 35.5097"
1989-11-09,1.0,"-12.9496, -74.25"
1989-11-09,2.0,"-13.175, -74.22"
1989-11-09,30.0,"-25.9553, 32.5892"
1989-11-09,3.0,"-13.175, -74.22"
1989-11-10,11.0,"6.9837, 81.0499"
1989-11-10,1.0,"6.932, 79.8578"
1989-11-10,1.0,"6.932, 79.8578"
1989-11-11,1.0,"11.2472, -74.2017"
1989-11-11,1.0,"-12.08, -75.2"
1989-11-11,4.0,"34.005, 71.535"
1989-11-11,1.0,"13.71, -89.203"
1989-11-12,1.0,"34.005, 71.535"
1989-11-14,3.0,"-15.5, -70.14"
1989-11-15,12.0,"7.28, 80.67"
1989-11-15,1.0,"54.6, -5.96"
1989-11-15,1.0,"54.5968, -5.9254"
1989-11-15,1.0,"43.25, -2.93"
1989-11-15,1.0,"-25.9696, 32.46"
1989-11-16,8.0,"13.71, -89.203"
1989-11-17,1.0,"54.3481, -6.6496"
1989-11-17,2.0,"40.4, -3.6834"
1989-11-17,2.0,"32.8925, 13.18"
1989-11-17,2.0,"34.42, 35.87"
1989-11-18,2.0,"44.5545, -73.2167"
1989-11-18,2.0,"41.5621, -72.3475"
1989-11-18,1.0,"6.92, 122.08"
1989-11-19,3.0,"11.01, 29.7"
1989-11-20,2.0,"40.4, -3.6834"
1989-11-21,1.0,"28.6, 77.2"
1989-11-21,2.0,"31.3349, 75.569"
1989-11-21,4.0,"40.8751, -74.0293"
1989-11-22,52.0,"33.872, 35.5097"
1989-11-22,2.0,"-33.45, -70.667"
1989-11-22,2.0,"19.5, -70.67"
1989-11-22,2.0,"8.1004, -80.9833"
1989-11-22,2.0,"16.6881, 121.5472"
1989-11-22,2.0,"-14.1896, -75.74"
1989-11-22,4.0,"40.8751, -74.0293"
1989-11-22,1.0,"38.8658, -77.1445"
1989-11-24,2.0,"34.005, 71.535"
1989-11-25,2.0,"-33.45, -70.667"
1989-11-25,2.0,"19.5, -70.67"
1989-11-25,2.0,"8.1004, -80.9833"
1989-11-25,2.0,"16.6881, 121.5472"
1989-11-25,2.0,"-14.1896, -75.74"
1989-11-26,1.0,"14.6042, 120.9822"
1989-11-26,1.0,"-33.45, -70.667"
1989-11-26,1.0,"19.5, -70.67"
1989-11-26,1.0,"8.1004, -80.9833"
1989-11-26,1.0,"16.6881, 121.5472"
1989-11-26,1.0,"-14.1896, -75.74"
1989-11-26,9.0,"6.7804, 79.88"
1989-11-26,17.0,"9.675, 80.005"
1989-11-27,1.0,"14.6042, 120.9822"
1989-11-27,107.0,"40.8751, -74.0293"
1989-11-28,4.0,"13.71, -89.203"
1989-11-29,2.0,"5.949, 80.5428"
1989-11-29,2.0,"42.8796, -71.3873"
1989-11-30,15.0,"23.7231, 90.4086"
1989-11-30,1.0,"8.35, 80.3833"
1989-12-01,3.0,"50.8333, 4.3333"
1989-12-01,1.0,"-9.53, -77.53"
1989-12-01,2.0,"-13.175, -74.22"
1989-12-02,1.0,"-13.175, -74.22"
1989-12-04,2.0,"14.6042, 120.9822"
1989-12-04,3.0,"14.6042, 120.9822"
1989-12-04,1.0,"13.71, -89.203"
1989-12-05,5.0,"33.563, 35.3688"
1989-12-05,10.0,"14.6042, 120.9822"
1989-12-06,1.0,"-12.08, -75.2"
1989-12-06,285.0,"40.8751, -74.0293"
1989-12-06,2.0,"32.8925, 13.18"
1989-12-06,2.0,"34.42, 35.87"
1989-12-07,21.0,"54.5099, -6.0404"
1989-12-07,2.0,"10.3997, -75.5144"
1989-12-07,2.0,"37.6004, -0.98"
1989-12-09,3.0,"14.6042, 120.9822"
1989-12-09,2.0,"6.932, 79.8578"
1989-12-09,20.0,"14.6042, 120.9822"
1989-12-10,2.0,"34.5167, 69.1833"
1989-12-11,1.0,"5.949, 80.5428"
1989-12-11,1.0,"-11.11, -77.6199"
1989-12-11,1.0,"-11.11, -77.6199"
1989-12-11,2.0,"-26.17, 28.03"
1989-12-11,2.0,"7.4839, 80.3683"
1989-12-11,3.0,"42.8796, -71.3873"
1989-12-12,5.0,"33.872, 35.5097"
1989-12-12,11.0,"17.4084, 121.2785"
1989-12-12,18.0,"7.717, 81.7"
1989-12-12,12.0,"6.9837, 81.0499"
1989-12-14,4.0,"-33.97, 25.6"
1989-12-14,2.0,"43.25, -2.93"
1989-12-14,4.0,"-33.97, 25.6"
1989-12-14,1.0,"43.78, 11.25"
1989-12-14,1.0,"34.1782, -79.7872"
1989-12-14,1.0,"34.8303, -87.6654"
1989-12-14,1.0,"38.99, -84.6471"
1989-12-14,1.0,"33.059, -111.4209"
1989-12-14,1.0,"40.0978, -74.7886"
1989-12-14,1.0,"43.9913, -124.1062"
1989-12-14,1.0,"38.3835, -105.1114"
1989-12-14,1.0,"14.6042, 120.9822"
1989-12-15,1.0,"10.23, -67.98"
1989-12-15,1.0,"39.485, -0.4"
1989-12-16,18.0,"-12.048, -77.0501"
1989-12-16,18.0,"40.741, -84.1121"
1989-12-16,1.0,"39.9289, 116.3883"
1989-12-16,2.0,"33.4871, -86.74"
1989-12-17,1.0,"34.005, 71.535"
1989-12-17,1.0,"33.6, 73.04"
1989-12-17,2.0,"7.28, 80.67"
1989-12-17,1.0,"7.28, 80.67"
1989-12-17,5.0,"6.03, 80.24"
1989-12-18,1.0,"14.6042, 120.9822"
1989-12-18,1.0,"32.0281, -81.1785"
1989-12-18,1.0,"35.2211, -88.2359"
1989-12-18,1.0,"39.939, -94.8279"
1989-12-19,1.0,"27.5618, 68.2068"
1989-12-19,2.0,"8.35, 80.3833"
1989-12-19,1.0,"-26.68, -57.15"
1989-12-20,3.0,"14.6211, -90.527"
1989-12-21,1.0,"14.6211, -90.527"
1989-12-22,1.0,"33.872, 35.5097"
1989-12-22,1.0,"39.6402, -77.7217"
1989-12-23,10.0,"40.8751, -74.0293"
1989-12-24,2.0,"-12.08, -75.2"
1989-12-28,6.0,"31.64, 74.87"
1989-12-28,1.0,"11.67, 78.1801"
1989-12-28,1.0,"44.9232, -123.0245"
1989-12-28,1.0,"42.5129, -70.902"
1989-12-28,1.0,"42.7902, -71.2203"
1989-12-28,1.0,"37.2864, -80.0555"
1989-12-28,1.0,"40.9049, -80.8491"
1989-12-28,1.0,"40.054, -111.6721"
1989-12-28,1.0,"38.6278, -88.9579"
1989-12-28,1.0,"38.6048, -86.0977"
1989-12-28,1.0,"39.5681, -75.4724"
1989-12-29,5.0,"-12.048, -77.0501"
1989-12-29,5.0,"40.741, -84.1121"
1990-01-02,1.0,"54.6, -5.96"
1990-01-02,1.0,"54.5968, -5.9254"
1990-01-03,9.0,"6.0522, 121.0022"
1990-01-03,1.0,"54.7543, -6.6094"
1990-01-05,2.0,"39.1626, -91.8712"
1990-01-06,2.0,"40.8751, -74.0293"
1990-01-06,25.0,"3.4, -76.5"
1990-01-06,3.0,"40.8751, -74.0293"
1990-01-08,2.0,"-12.048, -77.0501"
1990-01-08,2.0,"40.741, -84.1121"
1990-01-09,3.0,"-8.8383, 13.2344"
1990-01-09,1.0,"-12.048, -77.0501"
1990-01-09,1.0,"40.741, -84.1121"
1990-01-10,3.0,"31.3349, 75.569"
1990-01-10,2.0,"54.6, -5.96"
1990-01-10,2.0,"54.5968, -5.9254"
1990-01-10,1.0,"54.6, -5.96"
1990-01-10,1.0,"54.5968, -5.9254"
1990-01-12,2.0,"14.6211, -90.527"
1990-01-13,3.0,"32.8925, 13.18"
1990-01-13,3.0,"34.42, 35.87"
1990-01-14,3.0,"7.4839, 80.3683"
1990-01-14,3.0,"32.8925, 13.18"
1990-01-14,3.0,"34.42, 35.87"
1990-01-15,1.0,"31.7784, 35.2066"
1990-01-16,4.0,"36.4203, 2.83"
1990-01-16,2.0,"37.7625, -121.9365"
1990-01-16,1.0,"-13.3042, -72.1166"
1990-01-17,7.0,"-6.228, 155.566"
1990-01-17,1.0,"-16.498, -68.15"
1990-01-17,1.0,"24.14, -110.32"
1990-01-17,1.0,"14.32, -87.684"
1990-01-17,1.0,"-33.4661, -67.55"
1990-01-17,1.0,"54.6, -5.96"
1990-01-17,1.0,"54.5968, -5.9254"
1990-01-18,2.0,"24.87, 66.99"
1990-01-18,2.0,"17.4, 78.48"
1990-01-19,1.0,"8.1712, 124.2154"
1990-01-21,18.0,"9.675, 80.005"
1990-01-23,1.0,"54.3481, -6.6496"
1990-01-23,2.0,"-6.2163, 155.6333"
1990-01-24,1.0,"31.64, 74.87"
1990-01-24,1.0,"41.105, 29.01"
1990-01-25,4.0,"13.674, -89.29"
1990-01-25,1.0,"-13.175, -74.22"
1990-01-27,3.0,"-6.228, 155.566"
1990-01-27,1.0,"14.6042, 120.9822"
1990-01-28,1.0,"-13.175, -74.22"
1990-01-28,1.0,"34.005, 71.535"
1990-01-28,1.0,"8.569, 81.233"
1990-01-28,9.0,"42.8796, -71.3873"
1990-01-29,5.0,"-13.175, -74.22"
1990-01-29,1.0,"-5.9796, -79.75"
1990-01-30,5.0,"6.92, 122.08"
1990-01-30,5.0,"-13.175, -74.22"
1990-01-30,2.0,"30.05, 31.25"
1990-01-30,2.0,"30.879, -84.205"
1990-01-30,2.0,"42.2965, -74.0205"
1990-01-30,1.0,"39.9272, 32.8644"
1990-01-30,1.0,"41.105, 29.01"
1990-01-30,1.0,"29.7869, -95.3905"
1990-01-30,1.0,"32.1545, -110.8782"
1990-01-31,128.0,"34.5167, 69.1833"
1990-02-01,1.0,"13.75, 100.5166"
1990-02-03,1.0,"7.09, -73.85"
1990-02-03,3.0,"51.45, 7.0166"
1990-02-04,1.0,"31.64, 74.87"
1990-02-04,27.0,"30.05, 31.25"
1990-02-04,27.0,"30.879, -84.205"
1990-02-04,27.0,"42.2965, -74.0205"
1990-02-04,6.0,"31.64, 74.87"
1990-02-05,4.0,"24.87, 66.99"
1990-02-05,3.0,"6.802, -58.167"
1990-02-05,3.0,"-7.9286, -14.4119"
1990-02-05,3.0,"30.6668, -97.6953"
1990-02-05,3.0,"38.2251, -84.5481"
1990-02-05,3.0,"31.9849, -81.226"
1990-02-05,3.0,"33.3595, -79.2958"
1990-02-05,3.0,"38.6899, -75.3872"
1990-02-05,3.0,"42.724, -70.9821"
1990-02-05,3.0,"-18.3, 143.5333"
1990-02-07,1.0,"6.92, 122.08"
1990-02-07,4.0,"-13.175, -74.22"
1990-02-07,3.0,"-11.41, -75.73"
1990-02-08,2.0,"-33.45, -70.667"
1990-02-08,2.0,"19.5, -70.67"
1990-02-08,2.0,"8.1004, -80.9833"
1990-02-08,2.0,"16.6881, 121.5472"
1990-02-08,2.0,"-14.1896, -75.74"
1990-02-08,3.0,"-33.45, -70.667"
1990-02-08,3.0,"19.5, -70.67"
1990-02-08,3.0,"8.1004, -80.9833"
1990-02-08,3.0,"16.6881, 121.5472"
1990-02-08,3.0,"-14.1896, -75.74"
1990-02-08,1.0,"35.9692, -83.9496"
1990-02-08,1.0,"41.3188, -93.1024"
1990-02-09,1.0,"-13.525, -71.9722"
1990-02-14,1.0,"-13.175, -74.22"
1990-02-15,2.0,"-12.5783, 13.4072"
1990-02-17,2.0,"14.6042, 120.9822"
1990-02-18,1.0,"6.932, 79.8578"
1990-02-19,1.0,"37.9833, 23.7333"
1990-02-19,1.0,"33.9508, -83.3689"
1990-02-19,1.0,"39.3269, -82.0987"
1990-02-19,1.0,"34.7847, -86.951"
1990-02-19,1.0,"35.4573, -84.6045"
1990-02-19,1.0,"32.2041, -95.8321"
1990-02-19,5.0,"10.3997, -75.5144"
1990-02-19,5.0,"37.6004, -0.98"
1990-02-20,2.0,"52.63, -1.1332"
1990-02-20,2.0,"42.24, -71.912"
1990-02-22,2.0,"13.71, -89.203"
1990-02-22,2.0,"13.71, -89.203"
1990-02-22,6.0,"13.71, -89.203"
1990-02-22,3.0,"13.71, -89.203"
1990-02-22,4.0,"13.71, -89.203"
1990-02-22,3.0,"13.71, -89.203"
1990-02-23,1.0,"13.71, -89.203"
1990-02-24,1.0,"20.67, -103.33"
1990-02-24,1.0,"40.6337, -3.1666"
1990-02-24,9.0,"31.56, 74.35"
1990-02-25,11.0,"15.8592, -97.0659"
1990-02-25,1.0,"50.8333, 4.3333"
1990-02-26,2.0,"14.6042, 120.9822"
1990-02-27,1.0,"40.4, -3.6834"
1990-02-28,1.0,"14.6042, 120.9822"
1990-02-28,1.0,"14.6211, -90.527"
1990-02-28,1.0,"40.4, -3.6834"
1990-02-28,1.0,"39.0626, -84.709"
1990-02-28,1.0,"41.6593, -72.3905"
1990-03-01,21.0,"29.0004, 77.7"
1990-03-02,28.0,"8.968, -79.533"
1990-03-02,28.0,"30.1995, -85.6003"
1990-03-02,1.0,"33.872, 35.5097"
1990-03-02,28.0,"8.968, -79.533"
1990-03-02,28.0,"30.1995, -85.6003"
1990-03-03,1.0,"-13.175, -74.22"
1990-03-05,2.0,"-12.08, -75.2"
1990-03-07,50.0,"30.1204, 74.29"
1990-03-07,1.0,"-12.048, -77.0501"
1990-03-07,1.0,"40.741, -84.1121"
1990-03-07,2.0,"33.563, 35.3688"
1990-03-07,2.0,"41.105, 29.01"
1990-03-09,1.0,"-33.45, -70.667"
1990-03-09,1.0,"19.5, -70.67"
1990-03-09,1.0,"8.1004, -80.9833"
1990-03-09,1.0,"16.6881, 121.5472"
1990-03-09,1.0,"-14.1896, -75.74"
1990-03-09,1.0,"-12.048, -77.0501"
1990-03-09,1.0,"40.741, -84.1121"
1990-03-10,1.0,"41.105, 29.01"
1990-03-10,1.0,"-33.45, -70.667"
1990-03-10,1.0,"19.5, -70.67"
1990-03-10,1.0,"8.1004, -80.9833"
1990-03-10,1.0,"16.6881, 121.5472"
1990-03-10,1.0,"-14.1896, -75.74"
1990-03-10,1.0,"6.4603, -71.74"
1990-03-10,1.0,"54.6, -5.96"
1990-03-10,1.0,"54.5968, -5.9254"
1990-03-11,15.0,"33.872, 35.5097"
1990-03-11,17.0,"33.872, 35.5097"
1990-03-12,2.0,"13.71, -89.203"
1990-03-12,3.0,"13.71, -89.203"
1990-03-14,4.0,"24.87, 66.99"
1990-03-14,1.0,"41.105, 29.01"
1990-03-15,1.0,"33.872, 35.5097"
1990-03-15,3.0,"14.102, -87.2175"
1990-03-15,3.0,"14.102, -87.2175"
1990-03-16,13.0,"-8.8383, 13.2344"
1990-03-18,5.0,"31.64, 74.87"
1990-03-18,1.0,"31.64, 74.87"
1990-03-19,18.0,"28.6, 77.2"
1990-03-19,5.0,"13.71, -89.203"
1990-03-19,2.0,"37.9833, 23.7333"
1990-03-19,2.0,"33.9508, -83.3689"
1990-03-19,2.0,"39.3269, -82.0987"
1990-03-19,2.0,"34.7847, -86.951"
1990-03-19,2.0,"35.4573, -84.6045"
1990-03-19,2.0,"32.2041, -95.8321"
1990-03-19,1.0,"33.872, 35.5097"
1990-03-20,19.0,"30.72, 76.78"
1990-03-20,16.0,"25.3596, 97.3928"
1990-03-21,2.0,"-33.45, -70.667"
1990-03-21,2.0,"19.5, -70.67"
1990-03-21,2.0,"8.1004, -80.9833"
1990-03-21,2.0,"16.6881, 121.5472"
1990-03-21,2.0,"-14.1896, -75.74"
1990-03-21,1.0,"54.6, -5.96"
1990-03-21,1.0,"54.5968, -5.9254"
1990-03-22,50.0,"15.2533, 97.8679"
1990-03-22,1.0,"40.8751, -74.0293"
1990-03-22,1.0,"-12.08, -75.2"
1990-03-22,1.0,"22.33, 91.8"
1990-03-23,1.0,"-12.048, -77.0501"
1990-03-23,1.0,"40.741, -84.1121"
1990-03-23,1.0,"-12.048, -77.0501"
1990-03-23,1.0,"40.741, -84.1121"
1990-03-23,1.0,"-12.048, -77.0501"
1990-03-23,1.0,"40.741, -84.1121"
1990-03-23,1.0,"50.8333, 4.3333"
1990-03-23,1.0,"24.87, 66.99"
1990-03-23,1.0,"3.4, -76.5"
1990-03-23,26.0,"-12.048, -77.0501"
1990-03-23,26.0,"40.741, -84.1121"
1990-03-23,1.0,"33.872, 35.5097"
1990-03-24,16.0,"-17.7539, -63.226"
1990-03-24,16.0,"36.9789, -122.0346"
1990-03-24,16.0,"-6.22, -36.03"
1990-03-24,16.0,"14.1167, 121.2833"
1990-03-24,16.0,"-0.5333, -90.35"
1990-03-24,17.0,"-17.7539, -63.226"
1990-03-24,17.0,"36.9789, -122.0346"
1990-03-24,17.0,"-6.22, -36.03"
1990-03-24,17.0,"14.1167, 121.2833"
1990-03-24,17.0,"-0.5333, -90.35"
1990-03-25,6.0,"34.005, 71.535"
1990-03-26,6.0,"-11.26, -74.69"
1990-03-26,2.0,"14.6504, 121.03"
1990-03-26,1.0,"14.6042, 120.9822"
1990-03-27,1.0,"-12.048, -77.0501"
1990-03-27,1.0,"40.741, -84.1121"
1990-03-27,3.0,"14.6042, 120.9822"
1990-03-27,1.0,"-36.7167, -73.1167"
1990-03-27,1.0,"41.65, -0.89"
1990-03-27,1.0,"34.005, 71.535"
1990-03-27,14.0,"-12.08, -75.2"
1990-03-27,1.0,"3.4, -76.5"
1990-03-28,2.0,"14.6042, 120.9822"
1990-03-28,1.0,"54.3481, -6.6496"
1990-03-29,1.0,"-33.45, -70.667"
1990-03-29,1.0,"19.5, -70.67"
1990-03-29,1.0,"8.1004, -80.9833"
1990-03-29,1.0,"16.6881, 121.5472"
1990-03-29,1.0,"-14.1896, -75.74"
1990-03-30,2.0,"33.872, 35.5097"
1990-03-31,1.0,"-12.048, -77.0501"
1990-03-31,1.0,"40.741, -84.1121"
1990-03-31,2.0,"-9.53, -77.53"
1990-04-01,3.0,"18.01, 79.58"
1990-04-01,1.0,"14.6042, 120.9822"
1990-04-02,2.0,"41.0208, -81.8671"
1990-04-02,19.0,"24.87, 66.99"
1990-04-02,2.0,"19.4424, -99.131"
1990-04-02,1.0,"-7.6196, -78.04"
1990-04-02,3.0,"-12.048, -77.0501"
1990-04-02,3.0,"40.741, -84.1121"
1990-04-02,10.0,"24.87, 66.99"
1990-04-02,33.0,"13.674, -89.29"
1990-04-03,1.0,"37.5663, 126.9997"
1990-04-03,1.0,"-12.048, -77.0501"
1990-04-03,1.0,"40.741, -84.1121"
1990-04-03,1.0,"-7.15, -78.53"
1990-04-03,1.0,"37.9833, 23.7333"
1990-04-03,1.0,"33.9508, -83.3689"
1990-04-03,1.0,"39.3269, -82.0987"
1990-04-03,1.0,"34.7847, -86.951"
1990-04-03,1.0,"35.4573, -84.6045"
1990-04-03,1.0,"32.2041, -95.8321"
1990-04-04,1.0,"54.6, -5.96"
1990-04-04,1.0,"54.5968, -5.9254"
1990-04-04,1.0,"14.6042, 120.9822"
1990-04-05,2.0,"14.6042, 120.9822"
1990-04-06,1.0,"-8.8383, 13.2344"
1990-04-06,1.0,"31.7784, 35.2066"
1990-04-07,4.0,"37.7562, -122.443"
1990-04-07,4.0,"13.7, -88.1"
1990-04-07,4.0,"-31.43, -62.09"
1990-04-07,1.0,"37.5744, 43.7408"
1990-04-09,10.0,"54.3269, -5.7113"
1990-04-10,15.0,"-12.75, 15.76"
1990-04-10,12.0,"28.6, 77.2"
1990-04-10,9.0,"28.6, 77.2"
1990-04-10,1.0,"-13.175, -74.22"
1990-04-11,1.0,"-12.048, -77.0501"
1990-04-11,1.0,"40.741, -84.1121"
1990-04-11,6.0,"-12.048, -77.0501"
1990-04-11,6.0,"40.741, -84.1121"
1990-04-11,6.0,"-12.048, -77.0501"
1990-04-11,6.0,"40.741, -84.1121"
1990-04-13,27.0,"28.6, 77.2"
1990-04-14,1.0,"37.944, 41.933"
1990-04-14,1.0,"40.0159, -74.574"
1990-04-14,1.0,"24.87, 66.99"
1990-04-14,1.0,"40.1812, 44.5136"
